phantom_id,cell,t_switch,t_next,old_cluster_id,new_cluster_id,cluster_size,members,why_phantom,old_label_int,new_label_int,label
PHT_00137,MSappaa,89,90,18,22,3,ABarppaaa|Ealp|MSappaa,set(old_members)==set(new_members),18,22,0
PHT_00138,MSapppa,89,90,26,25,3,Eal|MSapppa|MSpaap,set(old_members)==set(new_members),26,25,0
PHT_00139,ABplapaa,90,91,1,3,3,ABplapaa|ABprappap|ABprpppap,set(old_members)==set(new_members),1,3,0
PHT_00140,MSaaa,90,91,6,18,3,ABplapapa|ABplpppaa|MSaaa,set(old_members)==set(new_members),6,18,0
PHT_00141,ABplapapa,90,91,6,18,3,ABplapapa|ABplpppaa|MSaaa,set(old_members)==set(new_members),6,18,0
PHT_00142,ABplpppaa,90,91,6,18,3,ABplapapa|ABplpppaa|MSaaa,set(old_members)==set(new_members),6,18,0
PHT_00143,ABprappap,90,91,1,3,3,ABplapaa|ABprappap|ABprpppap,set(old_members)==set(new_members),1,3,0
PHT_00144,ABprpppap,90,91,1,3,3,ABplapaa|ABprappap|ABprpppap,set(old_members)==set(new_members),1,3,0
PHT_00145,MSaaa,91,92,18,4,3,ABplapapa|ABplpppaa|MSaaa,set(old_members)==set(new_members),18,4,0
PHT_00146,ABalappaa,91,92,20,13,3,ABalappaa|ABaraapaa|MSaaaaa,set(old_members)==set(new_members),20,13,0
PHT_00147,ABaraapaa,91,92,20,13,3,ABalappaa|ABaraapaa|MSaaaaa,set(old_members)==set(new_members),20,13,0
PHT_00148,ABplapapa,91,92,18,4,3,ABplapapa|ABplpppaa|MSaaa,set(old_members)==set(new_members),18,4,0
PHT_00149,ABplpppaa,91,92,18,4,3,ABplapapa|ABplpppaa|MSaaa,set(old_members)==set(new_members),18,4,0
PHT_00150,MSaaaaa,91,92,20,13,3,ABalappaa|ABaraapaa|MSaaaaa,set(old_members)==set(new_members),20,13,0
PHT_00151,ABprpaap,92,93,1,4,4,ABalapppa|ABprpaap|Epr|MSpaapa,set(old_members)==set(new_members),1,4,0
PHT_00152,Epr,92,93,1,4,4,ABalapppa|ABprpaap|Epr|MSpaapa,set(old_members)==set(new_members),1,4,0
PHT_00153,Cpap,92,93,8,12,3,ABalppap|ABaraaaap|Cpap,set(old_members)==set(new_members),8,12,0
PHT_00154,ABalppap,92,93,8,12,3,ABalppap|ABaraaaap|Cpap,set(old_members)==set(new_members),8,12,0
PHT_00155,ABalapppa,92,93,1,4,4,ABalapppa|ABprpaap|Epr|MSpaapa,set(old_members)==set(new_members),1,4,0
PHT_00156,ABaraaaap,92,93,8,12,3,ABalppap|ABaraaaap|Cpap,set(old_members)==set(new_members),8,12,0
PHT_00157,MSpaapa,92,93,1,4,4,ABalapppa|ABprpaap|Epr|MSpaapa,set(old_members)==set(new_members),1,4,0
PHT_00158,ABaraapp,93,94,18,1,3,ABaraapp|Dap|MSppap,set(old_members)==set(new_members),18,1,0
PHT_00159,MSppap,93,94,18,1,3,ABaraapp|Dap|MSppap,set(old_members)==set(new_members),18,1,0
PHT_00160,Dap,93,94,18,1,3,ABaraapp|Dap|MSppap,set(old_members)==set(new_members),18,1,0
PHT_00161,ABprappa,95,96,3,9,3,ABpraaaaa|ABprappa|Cpaa,set(old_members)==set(new_members),3,9,0
PHT_00162,Cpaa,95,96,3,9,3,ABpraaaaa|ABprappa|Cpaa,set(old_members)==set(new_members),3,9,0
PHT_00163,Dp,95,96,7,10,3,ABalaaaal|ABalpaapa|Dp,set(old_members)==set(new_members),7,10,0
PHT_00164,ABalaaaal,95,96,7,10,3,ABalaaaal|ABalpaapa|Dp,set(old_members)==set(new_members),7,10,0
PHT_00165,ABalpaapa,95,96,7,10,3,ABalaaaal|ABalpaapa|Dp,set(old_members)==set(new_members),7,10,0
PHT_00166,ABarapppp,95,96,10,12,4,ABarapppp|ABpraaapp|ABpraapaa|ABprpaaaa,set(old_members)==set(new_members),10,12,0
PHT_00167,ABplapapa,95,96,11,13,3,ABplapapa|ABplappap|ABplpppap,set(old_members)==set(new_members),11,13,0
PHT_00168,ABplappap,95,96,11,13,3,ABplapapa|ABplappap|ABplpppap,set(old_members)==set(new_members),11,13,0
PHT_00169,ABplpppap,95,96,11,13,3,ABplapapa|ABplappap|ABplpppap,set(old_members)==set(new_members),11,13,0
