event_id,cell,t_switch,t_next,old_cluster_id,new_cluster_id,old_cluster_size,new_cluster_size,old_cluster_members,new_cluster_members,label
ANS_04138,ABaraaappa,121,122,20,21,23,24,ABalapppaa|ABalapppap|ABalppaap|ABalppapa|ABalpppaa|ABaraaaaap|ABaraaappa|ABaraaappp|ABaraappaa|ABarpaaaaa|ABarpaaaap|ABprppap|ABprpppa|Caapp|Cppppp|Eprp|Eprpa|Eprpp|MSapaaa|MSpaaaaa|MSpaaaap|MSpaaapa|MSpaapaa,ABalapppap|ABalppapa|ABalpppap|ABaraaaaap|ABaraaapap|ABaraaappa|ABaraapaap|ABaraappaa|ABaraappap|ABarapaaaa|ABplaaaap|ABplaapaa|ABplpaaaa|ABprpppaa|Caapp|Capp|Eplp|Eplpa|Eprpp|MSapaaa|MSpaaaap|MSpaaapa|MSpaapaa|MSppaaaa,1
ANS_04139,ABaraaappp,121,122,20,32,23,4,ABalapppaa|ABalapppap|ABalppaap|ABalppapa|ABalpppaa|ABaraaaaap|ABaraaappa|ABaraaappp|ABaraappaa|ABarpaaaaa|ABarpaaaap|ABprppap|ABprpppa|Caapp|Cppppp|Eprp|Eprpa|Eprpp|MSapaaa|MSpaaaaa|MSpaaaap|MSpaaapa|MSpaapaa,ABaraaappp|ABprppap|Eprp|Eprpa,1
ANS_04140,ABaraapaap,121,122,32,21,7,24,ABaraapaap|ABarpaaap|ABplaaaap|Capp|Eplp|Eplpa|MSaaaap,ABalapppap|ABalppapa|ABalpppap|ABaraaaaap|ABaraaapap|ABaraaappa|ABaraapaap|ABaraappaa|ABaraappap|ABarapaaaa|ABplaaaap|ABplaapaa|ABplpaaaa|ABprpppaa|Caapp|Capp|Eplp|Eplpa|Eprpp|MSapaaa|MSpaaaap|MSpaaapa|MSpaapaa|MSppaaaa,1
ANS_04141,ABaraapapa,121,122,55,20,3,10,ABalpaaaap|ABaraapapa|MSaaapa,ABalpaaaap|ABaraapapa|ABarapaapa|ABarpaaapa|ABprpappp|Capaap|MSaaaapp|MSaaapa|MSaaapap|MSpppp,1
ANS_04142,ABaraapapp,121,122,56,13,3,11,ABalpappaa|ABaraapapp|ABplaaaapa,ABalpappap|ABalpapppa|ABaraapapp|ABplaaaapa|ABplaaaapp|ABplpppa|ABprpappa|Ealaa|MSaaapp|MSaapaaa|MSaapaap,1
ANS_04143,ABaraappaa,121,122,20,21,23,24,ABalapppaa|ABalapppap|ABalppaap|ABalppapa|ABalpppaa|ABaraaaaap|ABaraaappa|ABaraaappp|ABaraappaa|ABarpaaaaa|ABarpaaaap|ABprppap|ABprpppa|Caapp|Cppppp|Eprp|Eprpa|Eprpp|MSapaaa|MSpaaaaa|MSpaaaap|MSpaaapa|MSpaapaa,ABalapppap|ABalppapa|ABalpppap|ABaraaaaap|ABaraaapap|ABaraaappa|ABaraapaap|ABaraappaa|ABaraappap|ABarapaaaa|ABplaaaap|ABplaapaa|ABplpaaaa|ABprpppaa|Caapp|Capp|Eplp|Eplpa|Eprpp|MSapaaa|MSpaaaap|MSpaaapa|MSpaapaa|MSppaaaa,1
ANS_04144,ABaraappap,121,122,57,21,3,24,ABaraaapap|ABaraappap|ABarapaaaa,ABalapppap|ABalppapa|ABalpppap|ABaraaaaap|ABaraaapap|ABaraaappa|ABaraapaap|ABaraappaa|ABaraappap|ABarapaaaa|ABplaaaap|ABplaapaa|ABplpaaaa|ABprpppaa|Caapp|Capp|Eplp|Eplpa|Eprpp|MSapaaa|MSpaaaap|MSpaaapa|MSpaapaa|MSppaaaa,1
ANS_04145,ABaraapppa,121,122,12,41,9,5,ABalppapp|ABaraapppa|ABarapaapp|ABarapappa|ABplaaapp|ABplappp|Epra|MSpaaapp|MSpapaaa,ABalppapp|ABaraapppa|ABarapaaap|ABarapaapp|ABplaaapa,1
ANS_04146,ABaraapppp,121,122,58,31,4,6,ABaraapppp|ABarappaaa|ABarpapapp|Earaa,ABaraapppp|ABarappaaa|ABarpapapp|ABprppaa|Epra|MSapapa,1
ANS_04147,ABarapaaaa,121,122,57,21,3,24,ABaraaapap|ABaraappap|ABarapaaaa,ABalapppap|ABalppapa|ABalpppap|ABaraaaaap|ABaraaapap|ABaraaappa|ABaraapaap|ABaraappaa|ABaraappap|ABarapaaaa|ABplaaaap|ABplaapaa|ABplpaaaa|ABprpppaa|Caapp|Capp|Eplp|Eplpa|Eprpp|MSapaaa|MSpaaaap|MSpaaapa|MSpaapaa|MSppaaaa,1
