adult_neuron,wormbase_raw_lineage,sulston_lineage,description,normalization_applied
RIBL,AB plpaappap,ABplpaappap,Ring interneuron,spaces_removed
RIBR,AB prpaappap,ABprpaappap,Ring interneuron,spaces_removed
RICL,AB plppaaaapp,ABplppaaaapp,Ring interneuron,spaces_removed
RICR,AB prppaaaapp,ABprppaaaapp,Ring interneuron,spaces_removed
RID,AB alappaapa,ABalappaapa,"Ring interneuron, projects along dorsal cord",spaces_removed
RIFL,AB plppapaaap,ABplppapaaap,Ring interneuron,spaces_removed
RIFR,AB prppapaaap,ABprppapaaap,Ring interneuron,spaces_removed
RIGL,AB plppappaa,ABplppappaa,Ring interneuron,spaces_removed
RIGR,AB prppappaa,ABprppappaa,Ring interneuron,spaces_removed
RIH,AB prpappaaa,ABprpappaaa,Ring interneuron,spaces_removed
RIML,AB plppaapap,ABplppaapap,Ring motor neuron,spaces_removed
RIMR,AB prppaapap,ABprppaapap,Ring motor neuron,spaces_removed
RIPL,AB alpapaaaa,ABalpapaaaa,"Ring/pharynx interneuron, only direct connection between pharynx and ring",spaces_removed
RIPR,AB arappaaaa,ABarappaaaa,"Ring/pharynx interneuron, only direct connection between pharynx and ring",spaces_removed
RIR,AB prpapppaa,ABprpapppaa,Ring interneuron,spaces_removed
RIS,AB prpappapa,ABprpappapa,Ring interneuron,spaces_removed
RIVL,AB plpaapaaa,ABplpaapaaa,Ring interneuron,spaces_removed
RIVR,AB prpaapaaa,ABprpaapaaa,Ring interneuron,spaces_removed
RMDDL,AB alpapapaa,ABalpapapaa,"Ring motor neuron/interneuron, many synapses",spaces_removed
RMDDR,AB arappapaa,ABarappapaa,"Ring motor neuron/interneuron, many synapses",spaces_removed
RMDL,AB alpppapad,ABalpppapa,"Ring motor neuron/interneuron, many synapses",spaces_removed + suffix_d_stripped
RMDR,AB praaaapad,ABpraaaapa,"Ring motor neuron/interneuron, many synapses",spaces_removed + suffix_d_stripped
RMDVL,AB alppapaaa,ABalppapaaa,"Ring motor neuron/interneuron, many synapses",spaces_removed
RMDVR,AB arapppaaa,ABarapppaaa,"Ring motor neuron/interneuron, many synapses",spaces_removed
RMED,AB alapppaap,ABalapppaap,Ring motor neuron,spaces_removed
RMEL,AB alaaaarlp,ABalaaaarlp,Ring motor neuron,spaces_removed
RMER,AB alaaaarrp,ABalaaaarrp,Ring motor neuron,spaces_removed
RMEV,AB plpappaaa,ABplpappaaa,Ring motor neuron,spaces_removed
RMFL,G2.al,G2.al,Ring motor neuron/interneuron,none
RMFR,G2.ar,G2.ar,Ring motor neuron/interneuron,none
RMGL,AB plapaaapp,ABplapaaapp,Ring interneuron,spaces_removed
RMGR,AB prapaaapp,ABprapaaapp,Ring interneuron,spaces_removed
RMHL,G1.l,G1.l,Ring motor neuron/interneuron,none
RMHR,G1.r,G1.r,Ring motor neuron/interneuron,none
SAADL,AB alppapapa,ABalppapapa,"Ring interneuron, anteriorly projecting process that runs sublaterally",spaces_removed
SAADR,AB arapppapa,ABarapppapa,"Ring interneuron, anteriorly projecting process that runs sublaterally",spaces_removed
SAAVL,AB plpaaaaaa,ABplpaaaaaa,"Ring interneuron, anteriorly projecting process that runs sublaterally",spaces_removed
SAAVR,AB prpaaaaaa,ABprpaaaaaa,"Ring interneuron, anteriorly projecting process that runs sublaterally",spaces_removed
