adult_neuron,input_wormbase_raw,after_step1_spaces_removed,after_step2_dots_removed,after_step3_suffix_stripped,output_sulston_final,rules_applied
IL2VR,AB arapppppp,ABarapppppp,ABarapppppp,ABarapppppp,ABarapppppp,spaces_removed
LUAL,AB plpppaapap,ABplpppaapap,ABplpppaapap,ABplpppaapap,ABplpppaapap,spaces_removed
LUAR,AB prpppaapap,ABprpppaapap,ABprpppaapap,ABprpppaapap,ABprpppaapap,spaces_removed
M1,MS paapaaa,MSpaapaaa,MSpaapaaa,MSpaapaaa,MSpaapaaa,spaces_removed
M2L,AB araapappa,ABaraapappa,ABaraapappa,ABaraapappa,ABaraapappa,spaces_removed
M2R,AB araappppa,ABaraappppa,ABaraappppa,ABaraappppa,ABaraappppa,spaces_removed
M3L,AB araapappp,ABaraapappp,ABaraapappp,ABaraapappp,ABaraapappp,spaces_removed
M3R,AB araappppp,ABaraappppp,ABaraappppp,ABaraappppp,ABaraappppp,spaces_removed
M4,MS paaaaaa,MSpaaaaaa,MSpaaaaaa,MSpaaaaaa,MSpaaaaaa,spaces_removed
M5,MS paaapap,MSpaaapap,MSpaaapap,MSpaaapap,MSpaaapap,spaces_removed
MCL,AB alpaaappp,ABalpaaappp,ABalpaaappp,ABalpaaappp,ABalpaaappp,spaces_removed
MCR,AB arapaappp,ABarapaappp,ABarapaappp,ABarapaappp,ABarapaappp,spaces_removed
MI,AB araappaaa,ABaraappaaa,ABaraappaaa,ABaraappaaa,ABaraappaaa,spaces_removed
NSML,AB araapapaav,ABaraapapaav,ABaraapapaav,ABaraapapaa,ABaraapapaa,spaces_removed + suffix_v_stripped
NSMR,AB araapppaav,ABaraapppaav,ABaraapppaav,ABaraapppaa,ABaraapppaa,spaces_removed + suffix_v_stripped
OLLL,AB alppppapaa,ABalppppapaa,ABalppppapaa,ABalppppapaa,ABalppppapaa,spaces_removed
OLLR,AB praaapapaa,ABpraaapapaa,ABpraaapapaa,ABpraaapapaa,ABpraaapapaa,spaces_removed
OLQDL,AB alapapapaa,ABalapapapaa,ABalapapapaa,ABalapapapaa,ABalapapapaa,spaces_removed
OLQDR,AB alapppapaa,ABalapppapaa,ABalapppapaa,ABalapppapaa,ABalapppapaa,spaces_removed
OLQVL,AB plpaaappaa,ABplpaaappaa,ABplpaaappaa,ABplpaaappaa,ABplpaaappaa,spaces_removed
OLQVR,AB prpaaappaa,ABprpaaappaa,ABprpaaappaa,ABprpaaappaa,ABprpaaappaa,spaces_removed
PDA,AB prpppaaaa,ABprpppaaaa,ABprpppaaaa,ABprpppaaaa,ABprpppaaaa,spaces_removed
PDB,P12.apa,P12.apa,P12apa,P12apa,P12apa,dots_removed
PDEL,V5L.paaa,V5L.paaa,V5L.paaa,V5L.paaa,V5L.paaa,none
PDER,V5R.paaa,V5R.paaa,V5R.paaa,V5R.paaa,V5R.paaa,none
PHAL,AB plpppaapp,ABplpppaapp,ABplpppaapp,ABplpppaapp,ABplpppaapp,spaces_removed
PHAR,AB prpppaapp,ABprpppaapp,ABprpppaapp,ABprpppaapp,ABprpppaapp,spaces_removed
PHBL,AB plapppappp,ABplapppappp,ABplapppappp,ABplapppappp,ABplapppappp,spaces_removed
PHBR,AB prapppappp,ABprapppappp,ABprapppappp,ABprapppappp,ABprapppappp,spaces_removed
PHCL,TL.pppaa,TL.pppaa,TL.pppaa,TL.pppaa,TL.pppaa,none
PHCR,TR.pppaa,TR.pppaa,TR.pppaa,TR.pppaa,TR.pppaa,none
PLML,AB plapappppaa,ABplapappppaa,ABplapappppaa,ABplapappppaa,ABplapappppaa,spaces_removed
PLMR,AB prapappppaa,ABprapappppaa,ABprapappppaa,ABprapappppaa,ABprapappppaa,spaces_removed
PLNL,TL.pppap,TL.pppap,TL.pppap,TL.pppap,TL.pppap,none
PLNR,TR.pppap,TR.pppap,TR.pppap,TR.pppap,TR.pppap,none
PQR,QL.ap,QL.ap,QL.ap,QL.ap,QL.ap,none
PVCL,AB plpppaapaa,ABplpppaapaa,ABplpppaapaa,ABplpppaapaa,ABplpppaapaa,spaces_removed
PVCR,AB prpppaapaa,ABprpppaapaa,ABprpppaapaa,ABprpppaapaa,ABprpppaapaa,spaces_removed
PVDL,V5L.paapa,V5L.paapa,V5L.paapa,V5L.paapa,V5L.paapa,none
PVDR,V5R.paapa,V5R.paapa,V5R.paapa,V5R.paapa,V5R.paapa,none
PVM,QL.paa,QL.paa,QL.paa,QL.paa,QL.paa,none
PVNL,TL.appp,TL.appp,TL.appp,TL.appp,TL.appp,none
PVNR,TR.appp,TR.appp,TR.appp,TR.appp,TR.appp,none
PVPL,AB plppppaaa,ABplppppaaa,ABplppppaaa,ABplppppaaa,ABplppppaaa,spaces_removed
PVPR,AB prppppaaa,ABprppppaaa,ABprppppaaa,ABprppppaaa,ABprppppaaa,spaces_removed
PVQL,AB plapppaaa,ABplapppaaa,ABplapppaaa,ABplapppaaa,ABplapppaaa,spaces_removed
PVQR,AB prapppaaa,ABprapppaaa,ABprapppaaa,ABprapppaaa,ABprapppaaa,spaces_removed
PVR,C aappv,Caappv,Caappv,Caappv,Caappv,spaces_removed
PVT,AB plpappppa,ABplpappppa,ABplpappppa,ABplpappppa,ABplpappppa,spaces_removed
PVWL,TL.ppa,TL.ppa,TL.ppa,TL.ppa,TL.ppa,none
PVWR,TR.ppa,TR.ppa,TR.ppa,TR.ppa,TR.ppa,none
RIAL,AB alapaapaa,ABalapaapaa,ABalapaapaa,ABalapaapaa,ABalapaapaa,spaces_removed
RIAR,AB alaapppaa,ABalaapppaa,ABalaapppaa,ABalaapppaa,ABalaapppaa,spaces_removed
RIBL,AB plpaappap,ABplpaappap,ABplpaappap,ABplpaappap,ABplpaappap,spaces_removed
RIBR,AB prpaappap,ABprpaappap,ABprpaappap,ABprpaappap,ABprpaappap,spaces_removed
RICL,AB plppaaaapp,ABplppaaaapp,ABplppaaaapp,ABplppaaaapp,ABplppaaaapp,spaces_removed
RICR,AB prppaaaapp,ABprppaaaapp,ABprppaaaapp,ABprppaaaapp,ABprppaaaapp,spaces_removed
RID,AB alappaapa,ABalappaapa,ABalappaapa,ABalappaapa,ABalappaapa,spaces_removed
RIFL,AB plppapaaap,ABplppapaaap,ABplppapaaap,ABplppapaaap,ABplppapaaap,spaces_removed
RIFR,AB prppapaaap,ABprppapaaap,ABprppapaaap,ABprppapaaap,ABprppapaaap,spaces_removed
RIGL,AB plppappaa,ABplppappaa,ABplppappaa,ABplppappaa,ABplppappaa,spaces_removed
RIGR,AB prppappaa,ABprppappaa,ABprppappaa,ABprppappaa,ABprppappaa,spaces_removed
RIH,AB prpappaaa,ABprpappaaa,ABprpappaaa,ABprpappaaa,ABprpappaaa,spaces_removed
RIML,AB plppaapap,ABplppaapap,ABplppaapap,ABplppaapap,ABplppaapap,spaces_removed
RIMR,AB prppaapap,ABprppaapap,ABprppaapap,ABprppaapap,ABprppaapap,spaces_removed
RIPL,AB alpapaaaa,ABalpapaaaa,ABalpapaaaa,ABalpapaaaa,ABalpapaaaa,spaces_removed
RIPR,AB arappaaaa,ABarappaaaa,ABarappaaaa,ABarappaaaa,ABarappaaaa,spaces_removed
RIR,AB prpapppaa,ABprpapppaa,ABprpapppaa,ABprpapppaa,ABprpapppaa,spaces_removed
RIS,AB prpappapa,ABprpappapa,ABprpappapa,ABprpappapa,ABprpappapa,spaces_removed
RIVL,AB plpaapaaa,ABplpaapaaa,ABplpaapaaa,ABplpaapaaa,ABplpaapaaa,spaces_removed
RIVR,AB prpaapaaa,ABprpaapaaa,ABprpaapaaa,ABprpaapaaa,ABprpaapaaa,spaces_removed
RMDDL,AB alpapapaa,ABalpapapaa,ABalpapapaa,ABalpapapaa,ABalpapapaa,spaces_removed
RMDDR,AB arappapaa,ABarappapaa,ABarappapaa,ABarappapaa,ABarappapaa,spaces_removed
RMDL,AB alpppapad,ABalpppapad,ABalpppapad,ABalpppapa,ABalpppapa,spaces_removed + suffix_d_stripped
RMDR,AB praaaapad,ABpraaaapad,ABpraaaapad,ABpraaaapa,ABpraaaapa,spaces_removed + suffix_d_stripped
RMDVL,AB alppapaaa,ABalppapaaa,ABalppapaaa,ABalppapaaa,ABalppapaaa,spaces_removed
RMDVR,AB arapppaaa,ABarapppaaa,ABarapppaaa,ABarapppaaa,ABarapppaaa,spaces_removed
RMED,AB alapppaap,ABalapppaap,ABalapppaap,ABalapppaap,ABalapppaap,spaces_removed
RMEL,AB alaaaarlp,ABalaaaarlp,ABalaaaarlp,ABalaaaarlp,ABalaaaarlp,spaces_removed
RMER,AB alaaaarrp,ABalaaaarrp,ABalaaaarrp,ABalaaaarrp,ABalaaaarrp,spaces_removed
RMEV,AB plpappaaa,ABplpappaaa,ABplpappaaa,ABplpappaaa,ABplpappaaa,spaces_removed
RMFL,G2.al,G2.al,G2.al,G2.al,G2.al,none
RMFR,G2.ar,G2.ar,G2.ar,G2.ar,G2.ar,none
RMGL,AB plapaaapp,ABplapaaapp,ABplapaaapp,ABplapaaapp,ABplapaaapp,spaces_removed
RMGR,AB prapaaapp,ABprapaaapp,ABprapaaapp,ABprapaaapp,ABprapaaapp,spaces_removed
RMHL,G1.l,G1.l,G1.l,G1.l,G1.l,none
RMHR,G1.r,G1.r,G1.r,G1.r,G1.r,none
SAADL,AB alppapapa,ABalppapapa,ABalppapapa,ABalppapapa,ABalppapapa,spaces_removed
SAADR,AB arapppapa,ABarapppapa,ABarapppapa,ABarapppapa,ABarapppapa,spaces_removed
SAAVL,AB plpaaaaaa,ABplpaaaaaa,ABplpaaaaaa,ABplpaaaaaa,ABplpaaaaaa,spaces_removed
SAAVR,AB prpaaaaaa,ABprpaaaaaa,ABprpaaaaaa,ABprpaaaaaa,ABprpaaaaaa,spaces_removed
SABD,AB plppapaap,ABplppapaap,ABplppapaap,ABplppapaap,ABplppapaap,spaces_removed
SABVL,AB plppapaaaa,ABplppapaaaa,ABplppapaaaa,ABplppapaaaa,ABplppapaaaa,spaces_removed
SABVR,AB prppapaaaa,ABprppapaaaa,ABprppapaaaa,ABprppapaaaa,ABprppapaaaa,spaces_removed
SDQL,QL.pap,QL.pap,QL.pap,QL.pap,QL.pap,none
SDQR,QR.pap,QR.pap,QR.pap,QR.pap,QR.pap,none
SIADL,AB plpapaapa,ABplpapaapa,ABplpapaapa,ABplpapaapa,ABplpapaapa,spaces_removed
SIADR,AB prpapaapa,ABprpapaapa,ABprpapaapa,ABprpapaapa,ABprpapaapa,spaces_removed
SIAVL,AB plpapappa,ABplpapappa,ABplpapappa,ABplpapappa,ABplpapappa,spaces_removed
SIAVR,AB prpapappa,ABprpapappa,ABprpapappa,ABprpapappa,ABprpapappa,spaces_removed
